task_id,feature_family,lift_type,source_repo_id,source_snapshot_id,common_comparison,mechanism_coverage_available,Code dependencies,Data and state,Framework mechanisms,Environment and resources
chameleon__template_compile_core__001,serialize_format_render,Adapted,github__malthe__chameleon,github__malthe__chameleon__4718452f9233,True,True,1,1,1,0
cherrypy__dispatch_tool_core__001,registry_plugin_dispatch,Composite,github__cherrypy__cherrypy,github__cherrypy__cherrypy__1f75bc9eed8e,False,False,,,,
click__lazy_command_core__hard3_001,registry_plugin_dispatch,Adapted,github__pallets__click,github__pallets__click__eadb3ec6941c,True,True,1,0,1,0
click__option_parser__001,parse_tokenize_decode,Adapted,github__pallets__click,github__pallets__click__a7cce6785c62,True,True,1,1,1,1
cliff__command_dispatch_core__001,registry_plugin_dispatch,Adapted,github__openstack__cliff,github__openstack__cliff__89efc71e3660,False,False,,,,
configobj__roundtrip_config_core__001,config_resolve_discover,Direct,github__diffsk__configobj,github__diffsk__configobj__38e58dce2418,True,True,1,1,0,1
connexion__openapi_resolver_core__001,registry_plugin_dispatch,Composite,github__spec_first__connexion,github__spec_first__connexion__a23d44e0e042,False,False,,,,
cookiecutter__repo_finder_core__hard3_001,config_resolve_discover,Composite,github__cookiecutter__cookiecutter,github__cookiecutter__cookiecutter__4a97d92d7fa3,True,True,1,0,0,1
copier__template_answers_core__001,config_resolve_discover,Adapted,github__copier_org__copier,github__copier_org__copier__5f71fad40920,False,False,,,,
coverage__config_merge_core__001,config_resolve_discover,Adapted,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,0,1,1
coverage__glob_matcher_core__001,config_resolve_discover,Direct,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,0,0,1
coverage__path_remap_core__001,config_resolve_discover,Adapted,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,0,0,1
coverage__report_core__001,serialize_format_render,Adapted,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,1,1,1
coverage__source_selection_core__001,config_resolve_discover,Adapted,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,1,1,1
croniter__cron_parse_core__001,protocol_state_transition,Direct,github__pallets_eco__croniter,github__pallets_eco__croniter__c013dd29183a,True,True,1,1,0,1
dataclasses_json__serde_core__001,serialize_format_render,Direct,github__lidatong__dataclasses_json,github__lidatong__dataclasses_json__3c5b2884e083,True,True,1,1,1,0
dateutil__zone_resolver_core__hard3_001,resource_metadata_loading,Composite,github__dateutil__dateutil,github__dateutil__dateutil__908960127252,True,True,1,1,0,1
decorator__signature_preserving_core__001,workflow_session_orchestration,Direct,github__micheles__decorator,github__micheles__decorator__09e3124ed957,True,True,0,1,1,0
deepdiff__deep_compare_core__001,algorithm_data_structure,Direct,github__qlustered__deepdiff,github__qlustered__deepdiff__94c962c3cc12,True,True,1,1,0,0
diskcache__eviction_policy_core__hard3_001,cache_retry_policy,Composite,github__grantjenks__python_diskcache,github__grantjenks__python_diskcache__0ac33411f2a9,True,True,1,0,0,1
distlib__wheel_metadata_core__hard3_001,resource_metadata_loading,Adapted,github__pypa__distlib,github__pypa__distlib__e71700d90bff,True,True,1,1,1,1
dogpile_cache__region_backend_core__001,registry_plugin_dispatch,Adapted,github__sqlalchemy__dogpile_cache,github__sqlalchemy__dogpile_cache__185db4fb6cd8,False,False,,,,
dramatiq__actor_stub_broker_core__001,workflow_session_orchestration,Composite,github__bogdanp__dramatiq,github__bogdanp__dramatiq__848b35f2f960,False,False,,,,
dulwich__config_parse_core__001,config_resolve_discover,Adapted,github__jelmer__dulwich,github__jelmer__dulwich__2f039e679035,False,False,,,,
dynaconf__settings_merge_core__001,config_resolve_discover,Adapted,github__dynaconf__dynaconf,github__dynaconf__dynaconf__038e0439fdf2,True,True,1,1,1,1
email_validator__validate_core__001,parse_tokenize_decode,Direct,github__joshdata__python_email_validator,github__joshdata__python_email_validator__e49b867521a5,True,True,1,1,0,0
environs__typed_env_core__001,config_resolve_discover,Direct,github__sloria__environs,github__sloria__environs__562bcbac41b7,True,True,1,1,0,1
faker__provider_core__001,resource_metadata_loading,Direct,github__joke2k__faker,github__joke2k__faker__2d3753ae9184,True,True,1,1,1,1
falcon__responder_routing_core__001,registry_plugin_dispatch,Direct,github__falconry__falcon,github__falconry__falcon__ea2b14d34bdb,False,False,,,,
filelock__reentrant_lock_core__001,workflow_session_orchestration,Adapted,github__tox_dev__filelock,github__tox_dev__filelock__206f5893cac6,True,True,0,0,0,1
flake8__plugin_options_core__hard3_001,registry_plugin_dispatch,Composite,github__pycqa__flake8,github__pycqa__flake8__4f658626a87a,True,True,1,0,1,1
flask__route_dispatch_core__001,registry_plugin_dispatch,Adapted,github__pallets__flask,github__pallets__flask__9cb579f98b54,True,True,1,1,1,0
fs__url_opener_core__hard3_001,registry_plugin_dispatch,Adapted,github__pyfilesystem__pyfilesystem2,github__pyfilesystem__pyfilesystem2__317adb352ae7,True,True,1,0,1,1
fsspec__url_chain_core__hard3_001,config_resolve_discover,Adapted,github__fsspec__filesystem_spec,github__fsspec__filesystem_spec__49231b1c487c,True,True,1,0,1,1
glom__spec_eval_core__hard3_001,algorithm_data_structure,Adapted,github__mahmoud__glom,github__mahmoud__glom__2250f02139ca,True,True,1,1,0,0
goodconf__typed_env_core__001,config_resolve_discover,Adapted,github__lincolnloop__goodconf,github__lincolnloop__goodconf__6fd9a4561ba6,False,False,,,,
graphene__schema_execute_core__001,workflow_session_orchestration,Composite,github__graphql_python__graphene,github__graphql_python__graphene__82903263080b,False,False,,,,
h11__message_parse_core__001,protocol_state_transition,Direct,github__python_hyper__h11,github__python_hyper__h11__5c23411f14fa,True,True,1,1,0,0
h2__frame_parse_core__001,protocol_state_transition,Adapted,github__python_hyper__h2,github__python_hyper__h2__bbdbf7654624,True,True,1,1,0,0
hatch__project_metadata_core__hard3_001,resource_metadata_loading,Adapted,github__pypa__hatch,github__pypa__hatch__1c66b30e80a7,True,True,0,1,1,1
httpretty__uri_stub_core__001,protocol_state_transition,Direct,github__gabrielfalcao__httpretty,github__gabrielfalcao__httpretty__f9f012711597,False,False,,,,
httpx__request_model_core__001,validate_normalize_construct,Adapted,github__encode__httpx,github__encode__httpx__3fdce099a597,True,True,1,1,0,1
humanize__naturaltime_core__001,serialize_format_render,Direct,github__python_humanize__humanize,github__python_humanize__humanize__7edd04a349f2,True,True,1,1,0,0
hydra_core__compose_initialize_core__001,registry_plugin_dispatch,Composite,github__facebookresearch__hydra,github__facebookresearch__hydra__02ba9be659d0,False,False,,,,
importlib_metadata__entry_points_core__001,resource_metadata_loading,Direct,github__python__importlib_metadata,github__python__importlib_metadata__ba1c0026121e,True,True,1,1,1,1
importlib_resources__traversable_tree_core__hard3_001,resource_metadata_loading,Composite,github__python__importlib_resources,github__python__importlib_resources__001958068578,True,True,1,1,1,1
installer__wheel_record_core__hard3_001,resource_metadata_loading,Adapted,github__pypa__installer,github__pypa__installer__648a0b9a91d0,True,True,1,1,0,1
intervaltree__interval_tree_core__001,algorithm_data_structure,Direct,github__chaimleib__intervaltree,github__chaimleib__intervaltree__9741eb324c97,True,True,1,1,0,0
isodate__duration_parse_core__001,parse_tokenize_decode,Adapted,github__gweis__isodate,github__gweis__isodate__f4373f2cf435,True,True,1,1,0,0
isort__settings_resolver_core__hard3_001,config_resolve_discover,Adapted,github__pycqa__isort,github__pycqa__isort__8422ea593a22,True,True,1,0,1,1
itsdangerous__timed_serializer_core__001,serialize_format_render,Adapted,github__pallets__itsdangerous,github__pallets__itsdangerous__ec2acee1e8b4,True,True,1,1,0,1
jinja2__compile_render_core__001,serialize_format_render,Adapted,github__pallets__jinja,github__pallets__jinja__9a72443c8587,True,True,1,1,1,0
jinja2__extensions_core__001,registry_plugin_dispatch,Adapted,github__pallets__jinja,github__pallets__jinja__9a72443c8587,True,True,1,1,1,0
jinja2__filters_tests_core__001,serialize_format_render,Adapted,github__pallets__jinja,github__pallets__jinja__9a72443c8587,True,True,1,1,1,0
jinja2__lexer_parser_core__001,parse_tokenize_decode,Adapted,github__pallets__jinja,github__pallets__jinja__9a72443c8587,True,True,1,1,1,0
jinja2__loader_inheritance_core__001,resource_metadata_loading,Adapted,github__pallets__jinja,github__pallets__jinja__9a72443c8587,True,True,1,1,1,1
json5__parse_core__001,parse_tokenize_decode,Direct,github__dpranke__pyjson5,github__dpranke__pyjson5__31c7118aa7ba,True,True,1,1,0,0
json_logic__evaluator_core__hard3_001,cache_retry_policy,Direct,github__nadirizr__json_logic_py,github__nadirizr__json_logic_py__ba7f0a8e6175,True,True,0,1,0,0
jsonpath_ng__expression_eval_core__001,parse_tokenize_decode,Direct,github__h2non__jsonpath_ng,github__h2non__jsonpath_ng__8d7356dcb6f2,True,True,1,1,0,0
jsonpointer__resolve_core__001,parse_tokenize_decode,Direct,github__stefankoegl__python_json_pointer,github__stefankoegl__python_json_pointer__362d9007ed9e,True,True,0,1,0,0
jsonschema__validator_core__001,validate_normalize_construct,Direct,github__python_jsonschema__jsonschema,github__python_jsonschema__jsonschema__032f23149b5a,True,True,1,1,0,0
jupyter_core__paths_resolver_core__hard3_001,config_resolve_discover,Adapted,github__jupyter__jupyter_core,github__jupyter__jupyter_core__23116e7ef136,True,True,1,0,0,1
jupyter_server__extension_config_core__hard3_001,registry_plugin_dispatch,Composite,github__jupyter_server__jupyter_server,github__jupyter_server__jupyter_server__5d69754e9c60,True,True,1,0,1,1
keyring__backend_select_core__hard3_001,registry_plugin_dispatch,Composite,github__jaraco__keyring,github__jaraco__keyring__4c51f18f5ba6,True,True,1,1,1,0
lark__grammar_loader_core__001,resource_metadata_loading,Direct,github__lark_parser__lark,github__lark_parser__lark__c80e589ad9d9,True,True,1,1,1,1
lark__parse_tree_core__001,parse_tokenize_decode,Direct,github__lark_parser__lark,github__lark_parser__lark__702440140c56,True,True,1,1,1,0
lark__visitor_transform_core__001,algorithm_data_structure,Adapted,github__lark_parser__lark,github__lark_parser__lark__702440140c56,True,True,1,1,1,0
license_expression__policy_core__hard3_001,parse_tokenize_decode,Direct,github__aboutcode_org__license_expression,github__aboutcode_org__license_expression__d9952b0e2bc0,True,True,1,1,0,0
limits__strategy_storage_core__001,registry_plugin_dispatch,Adapted,github__alisaifee__limits,github__alisaifee__limits__cb0ff4294d1b,False,False,,,,
luigi__task_requires_core__001,workflow_session_orchestration,Composite,github__spotify__luigi,github__spotify__luigi__715f65c4a56a,False,False,,,,
mako__lexer_expression_core__001,parse_tokenize_decode,Direct,github__sqlalchemy__mako,github__sqlalchemy__mako__8e2a8cd3a196,True,True,1,1,1,0
markdown__extensions_core__001,parse_tokenize_decode,Adapted,github__python_markdown__markdown,github__python_markdown__markdown__73b4842a1e1c,True,True,1,1,1,0
markdown_it__commonmark_render__001,parse_tokenize_decode,Direct,github__executablebooks__markdown_it_py,github__executablebooks__markdown_it_py__4c5e1b22e6a4,True,True,1,1,0,0
marshmallow__schema_core__001,serialize_format_render,Direct,github__marshmallow_code__marshmallow,github__marshmallow_code__marshmallow__a4ceae103333,True,True,1,1,1,0
mashumaro__dataclass_codec_core__001,validate_normalize_construct,Adapted,github__fatal1ty__mashumaro,github__fatal1ty__mashumaro__0ad3eaed34f0,False,False,,,,
mimesis__person_address_core__001,resource_metadata_loading,Direct,github__lk_geimfari__mimesis,github__lk_geimfari__mimesis__b285fd17ada4,False,False,,,,
mistune__markdown_plugin_core__001,parse_tokenize_decode,Adapted,github__lepture__mistune,github__lepture__mistune__a1b50bc12e06,False,False,,,,
mitmproxy__url_parse_core__001,parse_tokenize_decode,Direct,github__mitmproxy__mitmproxy,github__mitmproxy__mitmproxy__2ac5b089d953,False,False,,,,
mkdocs__plugin_config_core__hard3_001,registry_plugin_dispatch,Composite,github__mkdocs__mkdocs,github__mkdocs__mkdocs__b396880fcfb1,True,True,1,0,1,1
msgpack__pack_unpack_core__001,serialize_format_render,Adapted,github__msgpack__msgpack_python,github__msgpack__msgpack_python__6a3273526c81,True,True,1,1,0,0
multidict__multidict_mutation_core__hard3_001,algorithm_data_structure,Direct,github__aio_libs__multidict,github__aio_libs__multidict__083c5e312e59,True,True,1,1,0,0
networkx__dag_topo_core__001,algorithm_data_structure,Direct,github__networkx__networkx,github__networkx__networkx__10a1adf783f3,True,True,1,1,1,0
oauthlib__grant_dispatch_core__001,registry_plugin_dispatch,Adapted,github__oauthlib__oauthlib,github__oauthlib__oauthlib__40b0ab56da36,False,False,,,,
openapi_schema_validator__draft_core__001,validate_normalize_construct,Direct,github__python_openapi__openapi_schema_validator,github__python_openapi__openapi_schema_validator__005e0804dd85,False,False,,,,
oslo_config__opt_group_core__001,config_resolve_discover,Composite,github__openstack__oslo_config,github__openstack__oslo_config__37b787699a6c,False,False,,,,
oslo_policy__enforcer_core__001,registry_plugin_dispatch,Composite,github__openstack__oslo_policy,github__openstack__oslo_policy__69890e470480,False,False,,,,
packaging__requirement_marker_specifier__001,parse_tokenize_decode,Direct,github__pypa__packaging,github__pypa__packaging__0bfdf1744eb5,True,True,1,1,0,0
pandera__dataframe_schema_core__001,validate_normalize_construct,Composite,github__unionai_oss__pandera,github__unionai_oss__pandera__9777c23b4bbc,False,False,,,,
parse__format_parser_core__001,parse_tokenize_decode,Direct,github__r1chardj0n3s__parse,github__r1chardj0n3s__parse__d51d2fbb4275,True,True,0,1,0,0
parsel__selector_namespace_core__hard3_001,parse_tokenize_decode,Adapted,github__scrapy__parsel,github__scrapy__parsel__a14385bf15d8,True,True,1,1,0,0
parso__python_parse_core__001,parse_tokenize_decode,Direct,github__davidhalter__parso,github__davidhalter__parso__f28d112ed2c9,True,True,1,1,0,0
passlib__hash_context_core__001,validate_normalize_construct,Direct,source__foss_heptapod_net__fff35bde6fd1,source__foss_heptapod_net__fff35bde6fd1__d316cb7bd61f,True,True,1,1,1,0
paste__dispatch_map_core__001,registry_plugin_dispatch,Adapted,github__cdent__paste,github__cdent__paste__28e461548498,False,False,,,,
pathvalidate__sanitize_core__001,validate_normalize_construct,Direct,github__thombashi__pathvalidate,github__thombashi__pathvalidate__20e86fb22690,True,True,1,1,0,1
pendulum__parse_format_core__001,parse_tokenize_decode,Adapted,github__sdispater__pendulum,github__sdispater__pendulum__970a8c189aaa,True,True,1,1,1,0
phonenumbers__parse_format_core__001,parse_tokenize_decode,Direct,github__daviddrysdale__python_phonenumbers,github__daviddrysdale__python_phonenumbers__a72d28a419ff,True,True,1,1,1,1
pika__channel_spec_core__001,parse_tokenize_decode,Direct,github__pika__pika,github__pika__pika__2126d43a76c1,False,False,,,,
platformdirs__app_dirs_core__hard3_001,config_resolve_discover,Adapted,github__tox_dev__platformdirs,github__tox_dev__platformdirs__d6eab461f0cf,True,True,1,0,0,1
pluggy__hook_call_order__001,registry_plugin_dispatch,Direct,github__pytest_dev__pluggy,github__pytest_dev__pluggy__c62999277ecb,True,True,1,1,1,0
pluggy__hook_specs_core__001,registry_plugin_dispatch,Direct,github__pytest_dev__pluggy,github__pytest_dev__pluggy__c62999277ecb,True,True,1,1,1,0
pluggy__hook_wrapper_core__hard3_001,registry_plugin_dispatch,Adapted,github__pytest_dev__pluggy,github__pytest_dev__pluggy__0d767d1d9c54,True,True,1,0,1,0
poetry_core__dependency_groups_core__hard3_001,resource_metadata_loading,Composite,github__python_poetry__poetry_core,github__python_poetry__poetry_core__e0b3981cde6a,True,True,1,1,0,1
polyfactory__model_factory_core__001,validate_normalize_construct,Adapted,github__litestar_org__polyfactory,github__litestar_org__polyfactory__e420486b11b9,False,False,,,,
pre_commit__config_load_core__001,config_resolve_discover,Adapted,github__pre_commit__pre_commit,github__pre_commit__pre_commit__a9bba55a3f74,False,False,,,,
pydantic__field_validator_core__hard3_001,validate_normalize_construct,Adapted,github__pydantic__pydantic,github__pydantic__pydantic__4a1b25d08f22,True,True,1,1,1,0
pydantic_settings__env_source_core__001,config_resolve_discover,Adapted,github__pydantic__pydantic_settings,github__pydantic__pydantic_settings__656b6174508d,True,True,1,1,1,1
pydantic_v1__validation_error_core__001,validate_normalize_construct,Adapted,github__pydantic__pydantic,github__pydantic__pydantic__5642e78c15f5,True,True,1,1,1,0
pygments__formatter_core__001,serialize_format_render,Direct,github__pygments__pygments,github__pygments__pygments__4330994af0fe,True,True,1,1,1,0
pygments__lexer_core__001,parse_tokenize_decode,Direct,github__pygments__pygments,github__pygments__pygments__4330994af0fe,True,True,1,1,1,0
pylint__config_find_core__001,config_resolve_discover,Adapted,github__pylint_dev__pylint,github__pylint_dev__pylint__46d7486dd3d1,False,False,,,,
pyramid__configurator_action_core__hard3_001,workflow_session_orchestration,Composite,github__pylons__pyramid,github__pylons__pyramid__d99a36b679fa,True,True,1,0,1,0
pytest__fixture_resolve_core__001,registry_plugin_dispatch,Composite,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,True,True,1,1,1,0
pytest__ini_markers_core__001,config_resolve_discover,Composite,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,True,True,1,1,1,1
pytest__mark_expression_core__001,parse_tokenize_decode,Adapted,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,True,True,1,1,1,0
pytest__marker_registry_core__hard3_001,registry_plugin_dispatch,Composite,github__pytest_dev__pytest,github__pytest_dev__pytest__41b75f32604d,True,True,1,1,1,0
pytest__skipif_eval_core__001,cache_retry_policy,Composite,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,True,True,1,0,1,1
python_box__config_box_core__001,config_resolve_discover,Direct,github__cdgriffith__box,github__cdgriffith__box__8256206601ad,True,True,1,1,0,0
python_configuration__layered_config_core__001,config_resolve_discover,Adapted,github__tr11__python_configuration,github__tr11__python_configuration__f9da97f5e6a3,False,False,,,,
python_dateutil__relativedelta_core__001,algorithm_data_structure,Direct,github__dateutil__dateutil,github__dateutil__dateutil__8f9462716028,True,True,1,1,0,0
python_dateutil__rrule_core__001,protocol_state_transition,Direct,github__dateutil__dateutil,github__dateutil__dateutil__8f9462716028,True,True,1,1,0,0
python_decouple__config_repository_core__001,config_resolve_discover,Adapted,github__hbnetwork__python_decouple,github__hbnetwork__python_decouple__b7c6532fe5fa,True,True,0,0,0,1
python_dotenv__env_parse_core__001,config_resolve_discover,Direct,github__theskumar__python_dotenv,github__theskumar__python_dotenv__e50d0b4faa5c,True,True,1,1,1,1
python_frontmatter__roundtrip_core__001,serialize_format_render,Direct,github__eyeseast__python_frontmatter,github__eyeseast__python_frontmatter__d4da767cde15,True,True,1,1,0,1
python_multipart__form_parse_core__001,parse_tokenize_decode,Direct,github__kludex__python_multipart,github__kludex__python_multipart__d9b56a41df65,True,True,1,1,0,1
pyyaml__safe_load_dump__001,serialize_format_render,Adapted,github__yaml__pyyaml,github__yaml__pyyaml__ef4ac31bcdcc,True,True,1,1,1,0
quart__blueprint_dispatch_core__001,registry_plugin_dispatch,Adapted,github__pallets__quart,github__pallets__quart__47dcc0119287,False,False,,,,
readme_renderer__content_type_core__hard3_001,serialize_format_render,Adapted,github__pypa__readme_renderer,github__pypa__readme_renderer__6d94d0128c4f,True,True,1,1,0,0
redbaron__fst_mutate_core__001,parse_tokenize_decode,Adapted,github__pycqa__redbaron,github__pycqa__redbaron__9b4a1825d160,False,False,,,,
redis__resp_parser_core__001,protocol_state_transition,Adapted,github__redis__redis_py,github__redis__redis_py__5a532a3c39e1,True,True,1,1,0,0
referencing__json_schema_refs_core__001,config_resolve_discover,Adapted,github__python_jsonschema__referencing,github__python_jsonschema__referencing__1f0abc56e32e,True,True,1,1,0,0
requests_cache__cache_key_core__hard3_001,cache_retry_policy,Composite,github__requests_cache__requests_cache,github__requests_cache__requests_cache__c116dd5c841c,True,True,1,1,0,0
responses__request_matcher_core__hard3_001,registry_plugin_dispatch,Composite,github__getsentry__responses,github__getsentry__responses__f5ae59453877,True,True,1,1,0,0
returns__result_pipeline_core__hard3_001,workflow_session_orchestration,Adapted,github__dry_python__returns,github__dry_python__returns__885bf999e2df,True,True,1,1,0,0
rfc3986__uri_parse_core__001,parse_tokenize_decode,Adapted,github__python_hyper__rfc3986,github__python_hyper__rfc3986__667bc45c9d13,True,True,1,1,0,0
rich__markup_parse_core__001,parse_tokenize_decode,Adapted,github__textualize__rich,github__textualize__rich__76b5cd071400,True,True,1,1,1,0
rocketry__cond_schedule_core__001,workflow_session_orchestration,Direct,github__miksus__rocketry,github__miksus__rocketry__8da223c74300,False,False,,,,
routes__mapper_match_core__001,registry_plugin_dispatch,Adapted,github__bbangert__routes,github__bbangert__routes__7e82bd895a12,False,False,,,,
ruamel_yaml__roundtrip_core__001,serialize_format_render,Adapted,source__sourceforge_net__a935d43b47a4,source__sourceforge_net__a935d43b47a4__608d9dbf5085,True,True,1,1,1,0
schema__nested_validate_core__hard3_001,validate_normalize_construct,Adapted,github__keleshev__schema,github__keleshev__schema__981d7e089474,True,True,0,1,0,0
scrapy__item_loader_core__hard3_001,registry_plugin_dispatch,Adapted,github__scrapy__scrapy,github__scrapy__scrapy__32a8a88ac60c,True,True,1,1,1,0
setuptools_scm__version_normalize_core__hard3_001,resource_metadata_loading,Adapted,github__pypa__setuptools_scm,github__pypa__setuptools_scm__3d1b8ef01b27,True,True,1,1,0,0
sortedcontainers__sorted_list_core__001,algorithm_data_structure,Direct,github__grantjenks__python_sortedcontainers,github__grantjenks__python_sortedcontainers__a28aa11f1858,True,True,1,1,0,0
sphinx__extension_registry_core__hard3_001,registry_plugin_dispatch,Composite,github__sphinx_doc__sphinx,github__sphinx_doc__sphinx__60f7a239569e,True,True,1,0,1,0
spiffworkflow__bpmn_engine_core__001,workflow_session_orchestration,Composite,github__sartography__spiffworkflow,github__sartography__spiffworkflow__d4d6915ca2ae,False,False,,,,
sqlalchemy__event_dispatch_core__hard3_001,registry_plugin_dispatch,Adapted,github__sqlalchemy__sqlalchemy,github__sqlalchemy__sqlalchemy__73ee4dfeb1da,True,True,1,1,1,0
sqlparse__format_filters_core__001,serialize_format_render,Direct,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,True,True,1,1,0,0
sqlparse__parse_format_core__001,parse_tokenize_decode,Adapted,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,True,True,1,1,0,0
sqlparse__parse_split_core__001,parse_tokenize_decode,Adapted,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,True,True,1,1,0,0
sqlparse__token_tree_core__001,parse_tokenize_decode,Adapted,github__andialbrecht__sqlparse,github__andialbrecht__sqlparse__7bd7593b3dbd,True,True,1,1,0,0
starlette__route_matching_core__hard3_001,registry_plugin_dispatch,Adapted,github__encode__starlette,github__encode__starlette__6d2bfb8578e1,True,True,1,1,1,0
stdnum__isbn_validate_core__001,validate_normalize_construct,Adapted,github__arthurdejong__python_stdnum,github__arthurdejong__python_stdnum__006192e59be8,False,False,,,,
stevedore__extension_manager_core__hard3_001,registry_plugin_dispatch,Composite,github__openstack__stevedore,github__openstack__stevedore__839bbf1a774f,True,True,1,0,1,0
tabulate__table_format_core__001,serialize_format_render,Direct,github__astanin__python_tabulate,github__astanin__python_tabulate__ac7439e4e6c6,True,True,1,1,0,1
taskiq__broker_task_core__001,workflow_session_orchestration,Composite,github__taskiq_python__taskiq,github__taskiq_python__taskiq__ced190957412,False,False,,,,
tenacity__retry_state_core__hard3_001,cache_retry_policy,Adapted,github__jd__tenacity,github__jd__tenacity__b55c0e6d91cc,True,True,1,1,0,0
tomlkit__roundtrip_document__001,serialize_format_render,Direct,github__python_poetry__tomlkit,github__python_poetry__tomlkit__b4d3e4a77252,True,True,1,1,0,0
tornado__http_headers_core__001,parse_tokenize_decode,Adapted,github__tornadoweb__tornado,github__tornadoweb__tornado__0096f2897c98,False,False,,,,
tox__factor_expression_core__hard3_001,parse_tokenize_decode,Adapted,github__tox_dev__tox,github__tox_dev__tox__81ed66625063,True,True,1,1,1,0
